V1,perm_ent4,mse,mape,sym_test
M273,0.9303626640514991,1896188.9950222904,0.1379367302111863,True
M274,0.961954579606218,20611.28718978069,0.02414593305407041,True
M275,0.9559480933282093,157809.55476522594,0.05222545473196706,True
M276,0.9616293552094202,125904.40776865593,0.046077278454691444,True
M277,0.942359628402579,3171155.8142674905,0.5829079377850203,True
M278,0.7012831854946574,713714.1656951298,0.39975011777622266,True
M279,0.8238591155132104,173323.45620617238,0.05253848261096613,False
M280,0.9165006330134995,1277917.1024896435,0.15456867812749792,True
M281,0.9509959356112151,669796.0739659135,0.12029553083764699,True
M282,0.9483392068598463,1090122.6726561736,0.09518733061892706,True
M283,0.6059423135150168,7281619.820031384,0.6598323642886273,True
M284,0.8482722112577948,141837.08563607655,0.07969983500496775,True
M285,0.9840551946985883,4106167.847864945,0.4860455606877269,True
M286,0.9199155870321923,3858973.887749378,0.4004944948435393,True
M287,0.7890975169328054,1751715.2207196157,0.11964116898421251,True
M288,0.7180657047530111,181008.7740168747,0.03656097278181271,False
M289,0.8801071498390267,259404.84418984983,0.15959426969401458,True
M290,0.9130604104422527,852359.7690464343,0.15443113831783806,True
M291,0.961055205815184,169220.79055109757,0.042692744767793916,True
M292,0.9043815013123089,495745.42658717517,0.05900060214675018,True
M293,0.9715545723715957,171178.3246796289,0.10402928098120007,True
M294,0.7852150036549758,20841.04501432868,0.08687061828092352,True
M295,0.5675120033192366,7840266.374830552,0.6665866361492434,True
M296,0.6724444929768004,762208.8094316855,1.887052478827567,True
M297,0.5750720328316821,3943393.510154471,0.6618696644610336,True
M298,0.9243857067214228,11062581.463338546,0.4923862089667559,True
M299,0.8221631211156288,4414858.254498836,0.2195119459585236,True
M300,0.8781908579081575,410573.70621989033,0.12750964669598136,True
M301,0.6829131669401243,107673.7061628766,0.7709665799780694,True
M302,0.8882250573883277,102804.09490891645,0.05655506144127756,False
M303,0.8817992469842759,13576444.172415525,0.21715774238672417,True
M304,0.9353464998278412,450286.0677572034,0.05260201731237773,False
M305,0.8038339991506681,4282753.133010904,0.15341407324593068,False
M306,0.9521960693826659,44928.829531412535,0.02754257613729983,True
M307,0.9136164989492942,105832.38583086405,0.05023219362186247,False
M308,0.9772075138498457,124786.90824471916,0.07625429437537846,False
M309,0.9778788934453461,82361.94140665299,0.056457461092665376,True
M310,0.7827721858714045,8974.434512071271,0.05441377055616802,False
M311,0.9367523573569795,34827.55533415596,0.09036458169080255,False
M312,0.9621906142516293,30443.110250342837,0.021289106556817015,True
M313,0.959860819243942,49218.52897825766,0.0776709500797435,True
M314,0.9187681575414408,6811.339827366427,0.00950743343660888,True
M315,0.898492682933271,1189.0962862825909,0.022329108119321053,True
M316,0.9052381751625671,340645.04223593697,0.033529307083524335,False
M317,0.9286347819856133,84377.6273338816,0.15475784809616813,True
M318,0.9415122650792881,25826.105056241915,0.11235427084425242,True
M319,0.1699121934193738,5341.668661248137,0.021474590435101415,False
M320,0.2192135520742487,892.1813443759086,0.01402253357114648,False
M321,0.9363570148264279,373465.3360402603,0.07544970389395483,False
M322,0.8774466235374104,145257.36691152243,0.04289690653772154,True
M323,0.8329124549191603,352377.61634650244,0.11323473972734906,True
M324,0.8034580497330093,6675.209282784745,0.06230742177200868,True
M325,0.8956124260810855,31170.868211453988,0.1139475054763502,True
M326,0.8384503993080579,51648.00363655655,0.024116344396740756,False
M327,0.8275235009910142,11521.332561663343,0.07851295455802333,False
M328,0.8137850905066273,373120.8353796977,0.11081939459924771,False
M329,0.8723532129167223,195471.3311465791,0.03505990042501109,False
M330,0.8605092220008634,592.0027935528291,0.011669703146419321,False
M331,0.8686349834607582,33792.80744807951,0.17888424352956278,True
M332,0.8639059021037795,537.5526149519047,0.012967533016691707,True
M333,0.8526899664059762,1212781.2157544452,0.08860662571400253,True
M334,0.8739803360348588,1388.7977917009234,0.025451771433586925,True
M335,0.6132686180048472,466.83202510289834,0.006122455859506779,False
M336,0.7214561854158451,12683.812153360877,0.059089834117167984,False
M337,0.8308321123770773,438014.14554163034,0.114007914409513,True
M338,0.8546911012056259,1006.0668834705021,0.014538952959066117,False
M339,0.7868186490033426,336713.2445074008,0.0441487068135583,False
M340,0.7548239897139798,3737.044678943838,0.02934549491741173,True
M341,0.5833832742450085,4292.170032373015,0.03922277267707449,False
M342,0.761312822781657,647353.275836751,0.032757990024539815,False
M343,0.737422785588843,12721.739359944979,0.060563291491953976,False
M344,0.892062260380801,1799186.9677456184,0.15688261567409492,True
M345,0.8606098628639289,71369.6402611797,0.167090460854176,True
M346,0.9548554384227329,24051168.15838016,0.24505994258951416,True
M347,0.9642859832078865,266671.39425226423,0.1031949028372942,True
M348,0.9694548445607801,20689.242369341588,0.0432091119069354,True
M349,0.9169351744358849,5045.1249305900665,0.02629091366020145,False
M350,0.8889095361356069,3535239.1727434644,0.10283945407857047,False
M351,0.9800498872627504,16195975.739698244,0.18041305316293893,True
M352,0.9765554038979817,468267.2512458174,0.05402762628443249,True
M353,0.9806736708635656,17130086.32609732,0.14492244238026403,True
M354,0.9501868637306885,47211.690804526654,0.16559278427709148,True
M355,0.9588321912587691,167587.946409397,0.11100771292924543,False
M356,0.9699262215761263,55851.26272956146,0.04728577706453606,False
M357,0.9571078398675742,33434.4686788751,0.0567340736735181,True
M358,0.9601419849394991,157195.6598009603,0.06088476785543273,True
M359,0.9693791438989361,31540.63075637854,0.08856978161320318,True
M360,0.9450702388522871,1250214.7188906719,0.38514963001745317,True
M361,0.9460058617015109,66297.57589938262,0.08004165214822748,True
M362,0.986558801011489,9798.205228738216,0.04116594524655658,True
M363,0.9895367141233062,753621.3912172844,0.30443882143243667,True
M364,0.9049031154544166,17878.626750411477,0.06934511661178476,True
M365,0.9504967265684823,38173.252063374275,0.10082740828573522,True
M366,0.9426461500364595,227953.99215706313,0.07360799683888128,True
M367,0.9596776554672131,1275621.5328215389,0.08895162215242819,False
